DATE,ue_rate,County,covid_cases,covid_deaths,diff_covid_cases,diff_covid_deaths
2020-01-01,3.6,"Kings County, New York",0,0,0,0
2020-02-01,3.5,"Kings County, New York",0,0,0,0
2020-03-01,4.2,"Kings County, New York",11917,662,11917,662
2020-04-01,14.7,"Kings County, New York",44872,4521,32955,3859
2020-05-01,18.2,"Kings County, New York",55900,6926,11028,2405
2020-06-01,20.5,"Kings County, New York",59650,7120,3750,194
2020-07-01,20.5,"Kings County, New York",62385,7237,2735,117
2020-08-01,16.5,"Kings County, New York",64998,7290,2613,53
2020-09-01,14.1,"Kings County, New York",68844,7330,3846,40
2020-01-01,3.9,"Clark County, Nevada",0,0,0,0
2020-02-01,3.9,"Clark County, Nevada",0,0,0,0
2020-03-01,7.2,"Clark County, Nevada",869,23,869,23
2020-04-01,34,"Clark County, Nevada",3979,202,3110,179
2020-05-01,28.8,"Clark County, Nevada",6657,343,2678,141
2020-06-01,17.8,"Clark County, Nevada",15095,416,8438,73
2020-07-01,16.6,"Clark County, Nevada",41245,687,26150,271
2020-08-01,15.6,"Clark County, Nevada",59420,1126,18175,439
2020-09-01,14.8,"Clark County, Nevada",67176,1391,7756,265
2020-01-01,3.9,"San Bernardino County, California",0,0,0,0
2020-02-01,3.8,"San Bernardino County, California",0,0,0,0
2020-03-01,5,"San Bernardino County, California",125,4,125,4
2020-04-01,13.6,"San Bernardino County, California",2058,93,1933,89
2020-05-01,14.1,"San Bernardino County, California",5246,204,3188,111
2020-06-01,13.8,"San Bernardino County, California",12550,253,7304,49
2020-07-01,13.1,"San Bernardino County, California",32230,409,19680,156
2020-08-01,10.3,"San Bernardino County, California",47642,716,15412,307
2020-09-01,10.3,"San Bernardino County, California",55203,955,7561,239
2020-01-01,5.1,"Wayne County, Michigan",0,0,0,0
2020-02-01,4.4,"Wayne County, Michigan",0,0,0,0
2020-03-01,5.4,"Wayne County, Michigan",3752,142,3752,142
2020-04-01,25.8,"Wayne County, Michigan",16986,1886,13234,1744
2020-05-01,26.5,"Wayne County, Michigan",21079,2578,4093,692
2020-06-01,20.7,"Wayne County, Michigan",22767,2720,1688,142
2020-07-01,12.5,"Wayne County, Michigan",27067,2802,4300,82
2020-08-01,12.8,"Wayne County, Michigan",31231,2883,4164,81
2020-09-01,12.5,"Wayne County, Michigan",35456,2984,4225,101
2020-01-01,3.3,"Tarrant County, Texas",0,0,0,0
2020-02-01,3.2,"Tarrant County, Texas",0,0,0,0
2020-03-01,4.7,"Tarrant County, Texas",273,1,273,1
2020-04-01,13.4,"Tarrant County, Texas",2246,68,1973,67
2020-05-01,13,"Tarrant County, Texas",5463,165,3217,97
2020-06-01,8.6,"Tarrant County, Texas",12344,228,6881,63
2020-07-01,7.9,"Tarrant County, Texas",27823,365,15479,137
2020-08-01,6.6,"Tarrant County, Texas",41617,610,13794,245
2020-09-01,7.8,"Tarrant County, Texas",50417,721,8800,111
2020-01-01,4,"Franklin County, Ohio",0,0,0,0
2020-02-01,3.7,"Franklin County, Ohio",0,0,0,0
2020-03-01,4,"Franklin County, Ohio",325,3,325,3
2020-04-01,13.9,"Franklin County, Ohio",2441,73,2116,70
2020-05-01,11.6,"Franklin County, Ohio",5862,262,3421,189
2020-06-01,10.6,"Franklin County, Ohio",9148,404,3286,142
2020-07-01,9.1,"Franklin County, Ohio",16842,511,7694,107
2020-08-01,9.1,"Franklin County, Ohio",21785,562,4943,51
2020-09-01,8.3,"Franklin County, Ohio",27424,615,5639,53
2020-01-01,4.7,"Cuyahoga County, Ohio",0,0,0,0
2020-02-01,5.1,"Cuyahoga County, Ohio",0,0,0,0
2020-03-01,7.2,"Cuyahoga County, Ohio",527,6,527,6
2020-04-01,22.9,"Cuyahoga County, Ohio",2126,112,1599,106
2020-05-01,18.1,"Cuyahoga County, Ohio",4444,226,2318,114
2020-06-01,15.2,"Cuyahoga County, Ohio",6831,364,2387,138
